synonym	primary
SH3D1A	ITSN1
SH3P17	ITSN1
CNSA1	SH3GL1
EEN	SH3GL1
SH3D2B	SH3GL1
SH3P8	SH3GL1
CNSA2	SH3GL2
EEN-B1	SH3GL2
SH3D2A	SH3GL2
SH3P4	SH3GL2
CNSA3	SH3GL3
EEN-B2	SH3GL3
HsT19371	SH3GL3
SH3D2C	SH3GL3
SH3P13	SH3GL3
bA3J10.2	SHB
SBP	CCHCR1
TEBG	SHBG
SHC	SHC1
SHCA	SHC1
FBW4	FBXW4
FBWD4	FBXW4
SHFM3	FBXW4
SHSF3	FBXW4
HHG1	SHH
HLP3	VSNL1
HPE3	SHH
MCOPCB5	SHH
SMMCI	SHH
ShhNC	SHH
TPT	LMBR1
TPTPS	LMBR1
CSHMT	SHMT1
SHMT	SHMT2
GLYA	SHMT2
HEL-S-51e	SHMT2
NEDCASB	SHMT2
mSHMT	SHMT2
GCFX	SHOX
PHOG	SHOX
SHOX1	SHOX
SHOXY	SHOX
OG12	SHOX2
OG12X	SHOX2
SHOT	SHOX2
BURHAS	SIAH1
SIAH1A	SIAH1
hSiah2	SIAH2
CDw75	ST6GAL1
SIAT1	ST6GAL1
ST6GalI	ST6GAL1
ST6N	ST6GAL1
Gal-NAc6S	ST3GAL2
SIAT4A	ST3GAL1
SIATFL	ST3GAL1
ST3GalA	ST3GAL1
ST3GalA.1	ST3GAL1
ST3GalIA	ST3GAL1
ST3GalIA,1	ST3GAL1
ST3O	ST3GAL1
SIAT4B	ST3GAL2
ST3GALII	ST3GAL3
ST3GalA.2	ST3GAL4
CGS23	ST3GAL4
NANTA3	ST3GAL4
SAT3	ST3GAL4
SIAT4	ST3GAL4
SIAT4C	ST3GAL4
ST-4	ST3GAL4
ST3GalIV	ST3GAL4
STZ	ST3GAL4
gal-NAc6S	ST3GAL4
DEE15	ST3GAL3
EIEE15	ST3GAL3
MRT12	ST3GAL3
SIAT6	ST3GAL3
ST3Gal III	ST3GAL3
ST3GalIII	ST3GAL3
ST3N	ST3GAL3
GD3S	ST8SIA1
SIAT8	ST8SIA1
SIAT8-A	ST8SIA1
SIAT8A	ST8SIA1
ST8SiaI	ST8SIA1
D12S53E	PMEL
HMB-45	PMEL
HMB45	PMEL
ME20	PMEL
ME20-M	PMEL
ME20M	PMEL
P100	SART3
PMEL17	PMEL
SIL	STIL
SILV	PMEL
gp100	PMEL
MCPH7	STIL
bHLHe14	SIM1
HMC13F06	SIM2
HMC29C01	SIM2
SIM	SIM2
bHLHe15	SIM2
SPA1	SFTPA1
BOS3	SIX1
DFNA23	SIX1
TIP39	PTH2
HPE2	SIX3
SKV	SKI
SNO	SBNO2
SnoA	SKIL
SnoI	SKIL
SnoN	SKIL
170A	SKIC2
DDX13	SKIC2
SKI2	SKIC2
SKI2W	SKIC2
SKIV2	SKIC2
SKIV2L	SKIC2
SKIV2L1	SKIC2
THES2	SKIC2
EMC19	SKP1
OCP-II	SKP1
OCP2	SKP1
SKP1A	SKP1
TCEB1L	SKP1
p19A	SKP1
FBL1	SKP2
FBXL1	SKP2
FLB1	SKP2
SLA1	SLA
SLAP	FAM169A
CD150	SLAMF1
CDw150	SLAMF1
SLAM	SLAMF1
DCBXA	SLC1A1
EAAC1	SLC1A1
EAAT3	SLC1A1
SCZD18	SLC1A1
hEAAC1	SLC1A1
DEE41	SLC1A2
EAAT2	SLC1A2
EIEE41	SLC1A2
GLT-1	SLC1A2
GLT1	SLC1A2
HBGT	SLC1A2
EA6	SLC1A3
EAAT1	SLC1A3
GLAST	SLC1A3
GLAST1	SLC1A3
AE3	SLC4A3
CAE3/BAE3	SLC4A3
SLC2C	SLC4A3
SQT7	SLC4A3
ASCT1	SLC1A4
SATT	SLC1A4
SPATCCM	SLC1A4
AAAT	SLC1A7
ASCT2	SLC1A5
ATBO	SLC1A5
M7V1	SLC1A5
M7VS1	SLC1A5
R16	SLC1A5
RDRC	SLC1A5
EAAT4	SLC1A6
EAAT5	SLC1A7
DYT17	SLC2A1
DYT18	SLC2A1
DYT9	SLC2A1
EIG12	SLC2A1
GLUT	SLC2A1
GLUT-1	SLC2A1
GLUT1	SLC2A1
GLUT1DS	SLC2A1
HTLVR	SLC2A1
SDCHCN	SLC2A1
GLUT2	SLC2A2
GLUT3	SLC2A3
GLUT4	SLC2A4
GLUT-5	SLC2A5
GLUT5	SLC2A5
CSNU1	SLC3A1
D2H	SLC3A1
NBAT	SLC3A1
RBAT	SLC3A1
4F2	SLC3A2
4F2HC	SLC3A2
4T2HC	SLC3A2
CD98	SLC7A5
CD98HC	SLC3A2
MDU1	SLC3A2
NACAE	SLC3A2
AE1	SLC4A1
BND3	SLC4A1
CD233	SLC4A1
DI	SLC4A1
EMPB3	SLC4A1
EPB3	SLC4A1
FR	SLC4A1
RTA1A	SLC4A1
SAO	SLC4A1
SPH4	SLC4A1
SW	SLC4A1
WD1	SLC4A1
WR	VPS54
AE2	NBPF3
BND3L	SLC4A2
EPB3L1	SLC4A2
HKB3	SLC4A2
NBND3	SLC4A2
OPTB9	SLC4A2
D22S675	SLC5A1
NAGT	SLC5A1
SGLT-1	SLC5A1
SGLT1	SLC5A1
SGLT2	SLC5A2
BCW2	SLC5A3
SMIT	SLC5A3
SMIT1	SLC5A3
SMIT2	SLC5A11
DJ90G24.4	SLC5A4
SAAT1	SLC5A4
SGLT3	SLC5A4
NIS	SLC5A5
TDH1	SLC5A5
GABATHG	SLC6A1
GABATR	SLC6A1
GAT1	SLC6A1
MAE	SLC6A1
hGAT-1	SLC6A1
DAT	SLC6A3
DAT1	SLC6A3
PKDYS	SLC6A3
PKDYS1	SLC6A3
5-HTT	SLC6A4
5-HTTLPR	SLC6A4
5HTT	SLC6A4
OCD1	SLC6A4
SERT	SLC6A4
SERT1	SLC6A4
hSERT	SLC6A4
HTRDC	SLC6A6
TAUT	SLC6A6
PROT	SLC6A7
CCDS1	SLC6A8
CRT-1	SLC6A8
CRTR	SLC6A8
CTR5	SLC6A8
GCENSG	SLC6A9
GAT-3	SLC6A11
GAT3	SLC6A13
GAT4	SLC6A11
BGT-1	SLC6A12
BGT1	SLC6A12
GAT2	SLC6A13
GAT-2	SLC6A13
ATRC1	SLC7A1
CAT-1	SLC7A1
ERR	SLC7A1
HCAT1	SLC7A1
REC1L	SLC7A1
ATRC2	SLC7A2
CAT-2A	SLC7A2
CAT-2B	SLC7A2
CAT2	TRPV5
HCAT2	SLC7A2
SLC7A2A	SLC7A2
SLC7A2B	SLC7A2
NCX2	SLC8A2
CAT-4	SLC7A4
CAT4	SLC7A4
HCAT3	SLC7A4
VH	SLC7A4
NCX1	SLC8A1
NCX3	SLC8A3
APNH	SLC9A1
LIKNS	SLC9A1
NHE-1	SLC9A1
NHE1	SLC9A1
PPP1R143	SLC9A1
NHE2	SLC9A2
DIAR8	SLC9A3
NHE-3	SLC9A3
NHE3	SLC9A3
NHE5	SLC9A5
FHCA2	SLC10A1
NTCP	SLC10A1
ASBT	SLC10A2
IBAT	SLC10A2
ISBT	SLC10A2
NTCP2	SLC10A2
PBAM	SLC10A2
PBAM1	SLC10A2
NRAMP	SLC11A1
NRAMP1	SLC11A1
BSC	SLC12A2
BSC-1	SLC12A1
BSC1	SLC12A1
CCC2	SLC12A1
NKCC2	SLC12A1
BSC-2	SLC12A2
BSC2	SLC12A2
CCC1	SLC12A2
KILQS	SLC12A2
NKCC1	SLC12A2
PPP1R141	SLC12A2
NCC	SLC12A3
NCCT	SLC12A3
TSC	TESC
CTC-479C5.17	SLC12A4
KCC1	SLC12A4
hKCC1	SLC12A4
NAS1	SLC13A1
NaSi-1	SLC13A1
HUT11	SLC14A1
HUT11A	SLC14A1
HsT1341	SLC14A1
JK	SLC14A1
Jk(a)	SLC14A1
Jk(b)	SLC14A1
RACH1	SLC14A1
RACH2	SLC14A1
UT-B1	SLC14A1
UT1	SLC14A1
UTE	SLC14A1
HPECT1	SLC15A1
HPEPT1	SLC15A1
PEPT1	SLC15A1
PEPT2	SLC15A2
HHF7	SLC16A1
MCT	MCPH1
MCT1D	SLC16A1
AHDS	SLC16A2
DXS128	SLC16A2
DXS128E	SLC16A2
MCT 7	SLC16A2
MCT 8	SLC16A2
MCT7	SLC16A6
MCT8	SLC16A2
MRX22	SLC16A2
XPCT	SLC16A2
NAPI-1	SLC17A1
NPT-1	SLC17A1
NPT1	SLC17A1
FRTS2	SLC34A1
HCINF2	SLC34A1
NAPI-3	SLC34A1
NPHLOP1	SLC34A1
NPT2	SLC34A1
NPTIIa	SLC34A1
SLC11	SLC34A1
CGAT	SLC18A1
VMAT1	SLC18A1
PKDYS2	SLC18A2
SVAT	SLC18A2
SVMT	SLC18A2
VAT2	SLC18A2
VMAT2	SLC18A2
CMS21	SLC18A3
VACHT	SLC18A3
CHMD	SLC19A1
FOLT	SLC19A1
IFC-1	SLC19A1
IFC1	SLC19A1
IMD114	SLC19A1
MEGAF	SLC19A1
REFC	SLC19A1
RFT-1	SLC19A1
hRFC	SLC19A1
hSLC19A1	SLC19A1
GLVR1	SLC20A1
Glvr-1	SLC20A1
PiT-1	SLC20A1
GLVR-2	SLC20A2
GLVR2	SLC20A2
IBGC1	SLC20A2
IBGC2	SLC20A2
IBGC3	SLC20A2
MLVAR	SLC20A2
PIT-2	SLC20A2
PIT2	SLC20A2
RAM1	EDDM3A
Ram-1	SLC20A2
CMS23	SLC25A1
CTP	SLC25A1
D2L2AD	SLC25A1
SLC20A3	SLC25A1
MATR1	SLCO2A1
OATP2A1	SLCO2A1
PGT	SLCO2A1
PHOAD	SLCO2A1
PHOAR2	SLCO2A1
SLC21A2	SLCO2A1
OATP	SLCO1A2
OATP-A	SLCO1A2
OATP1A2	SLCO1A2
SLC21A3	SLCO1A2
HOCT1	SLC22A1
oct1_cds	SLC22A1
EMTH	SLC22A3
DFNB60	SLC22A4
ETTh	SLC22A4
OCTN1	SLC22A4
CDSP	SLC22A5
OCTN2	SLC22A5
MEGF4	SLIT1
SLIL1	SLIT1
SLIT-1	SLIT1
MEGF5	SLIT3
SLIL2	SLIT3
Slit-3	SLIT3
slit2	SLIT3
BLPI	SLPI
HUSI	SLPI
HUSI-I	SLPI
WAP4	SLPI
WFDC4	SLPI
SLUG	SNAI2
SLUGH	SNAI2
SLUGH1	SNAI2
SNAIL2	SNAI2
WS2D	SNAI2
ISWI	SMARCA5
NURF140	SMARCA1
SNF2L	SMARCA1
SNF2L1	SMARCA1
SNF2LB	SMARCA4
SNF2LT	SMARCA1
SWI	SMARCA1
SWI2	SMARCA4
hSNF2L	SMARCA1
BAF190	SMARCA4
BIS	BAG3
BRM	SMARCA2
NCBRS	SMARCA2
SNF2	SMARCA4
SNF2L2	SMARCA2
SNF2LA	SMARCA2
Sth1p	SMARCA2
hBRM	SMARCA2
hSNF2a	SMARCA2
HIP116	HLTF
HIP116A	HLTF
HLTF1	HLTF
RNF80	HLTF
SMARCA3	HLTF
SNF2L3	HLTF
ZBU1	HLTF
BAF190A	SMARCA4
BRG1	SMARCA4
CSS4	SMARCA4
MRD16	SMARCA4
OTSC12	KIF3B
RTPS2	SMARCA4
SNF2-beta	SMARCA4
SNF2L4	SMARCA4
hSNF2b	SMARCA4
BAF47	SMARCB1
CSS3	CHSY3
INI-1	SMARCB1
INI1	SMARCB1
MRD15	SMARCB1
PPP1R144	SMARCB1
RDT	SMARCB1
RTPS1	SMARCB1
SNF5	SMARCB1
SNF5L1	SMARCB1
SWNTS1	SMARCB1
Sfh1p	SMARCB1
Snr1	SMARCB1
hSNFS	SMARCB1
BAF155	SMARCC1
CRACC1	SMARCC1
HYC5	SMARCC1
Rsc8	SMARCC2
SRG3	SMARCC1
SWI3	SMARCC1
BAF170	SMARCC2
CRACC2	SMARCC2
CSS8	SMARCC2
BAF60A	SMARCD1
CRACD1	SMARCD1
CSS11	SMARCD1
Rsc6p	SMARCD3
BAF60B	SMARCD2
CRACD2	SMARCD2
PRO2451	SMARCD2
SGD2	SMARCD2
BAF60C	SMARCD3
CRACD3	SMARCD3
BAF57	SMARCE1
CSS5	SMARCE1
BCD541	SMN2
GEMIN1	SMN2
SMA	SMN1
SMA1	SMN1
SMA2	SMN1
SMA3	SMN1
SMA4	SMN1
SMA@	SMN1
SMNT	SMN1
T-BCD541	SMN1
TDRD16A	SMN1
C-BCD541	SMN2
SMNC	SMN2
TDRD16B	SMN2
CRJS	SMO
FZD11	SMO
PHLS	SMO
SMOH	SMO
ASM	SMPD1
ASMASE	SMPD1
NPD	SMPD1
ISC1	SMPD2
NSMASE	SMPD2
NSMASE1	SMPD2
MRSR	SMS
MRXSSR	SMS
SPMSY	SMS
SRS	SMS
SpS	SMS
SMT3A	SUMO3
SMT3H1	SUMO3
SUMO-3	SUMO3
Smt3B	SUMO3
HSMT3	SUMO2
SMT3B	SUMO2
SMT3H2	SUMO2
Smt3A	SUMO2
CD169	SIGLEC1
SIGLEC-1	SIGLEC1
SN	SCG2
SLUGH2	SNAI1
SNA	SNAI1
SNAH	SNAI1
SNAIL	SNAI1
SNAIL1	SNAI1
dJ710H13.1	SNAI1
CMS18	SNAP25
RIC-4	SNAP25
RIC4	SNAP25
SEC9	SNAP25
SNAP	SNAP25
SNAP-25	SNAP25
SUP	HERPUD1
bA416N4.2	SNAP25
dJ1068F16.2	SNAP25
PTFgamma	SNAPC1
SNAP43	SNAPC1
PTFDELTA	SNAPC2
SNAP45	SNAPC2
PTFbeta	SNAPC3
SNAP50	SNAPC3
NEDRSO	SNAPC4
PTFalpha	SNAPC4
SNAP190	SNAPC4
NACP	SNCA
PARK1	SNCA
PARK4	SNCA
BCSG1	SNCG
HSN	FSCN1
SNL	FSCN1
RNPU1Z	SNRNP70
RPU1	SNRNP70
SNRP70	SNRNP70
Snp1	SNRNP70
U1-70K	SNRNP70
U170K	SNRNP70
U1AP	SNRNP70
U1RNP	SNRNP70
Mud1	SNRPA
U1-A	SNRPA
U1A	SNRPA
Lea1	SNRPA1
U2A'	SNRPA1
CCMS	SNRPB
COD	SNRPB
Sm-B/B'	SNRPB
SmB/B'	SNRPB
SmB/SmB'	SNRPB
snRNP-B	SNRPB
Msl1	SNRPB2
U2B''	SNRPB2
U1C	SNRPC
Yhc1	SNRPC
HsT2456	SNRPD1
SMD1	SNRPD1
SNRPD	SNRPD1
Sm-D1	SNRPD1
SMD2	SNRPD2
Sm-D2	SNRPD2
SMD3	SNRPD3
Sm-D3	SNRPD3
HYPT11	SNRPE
SME	SNRPE
Sm-E	SNRPE
snRNP-E	SNRPE
SMF	HMGXB3
Sm-F	SNRPF
snRNP-F	SNRPF
SMG	SAMD4A
Sm-G	SNRPG
HCERN3	SNRPN
RT-LI	SNRPN
SM-D	SNRPN
SNRNP-N	SNRPN
SNURF-SNRPN	SNRPN
sm-N	SNRPN
LQT12	SNTA1
SNT1	FRS2
TACIP1	SNTA1
dJ1187J4.5	SNTA1
59-DAP	SNTB1
BSYN2	SNTB1
DAPA1B	SNTB1
SNT2	FRS3
SNT2B1	SNTB1
TIP-43	SNTB1
HsT17379	SNX1
VPS5	SNX1
TRG-9	SNX2
D16S2531E	SNTB2
EST25263	SNTB2
SNT2B2	SNTB2
SNT3	SNTB2
SNTL	SNTB2
ACACT	SOAT1
ACAT-1	SOAT1
SOAT	SLC10A6
STAT	SOAT1
ALS1	SOD1
HEL-S-44	SOD1
IPOA	SOD1
SOD	SOD1
STAHP	SOD1
hSod1	SOD1
homodimer	SOD1
GC1	SLC25A22
GClnc1	SOD2
IPO-B	SOD2
MNSOD	SOD2
MVCD6	SOD2
Mn-SOD	SOD2
EC-SOD	SOD3
OGIN	CAPN15
SOLH	CAPN15
BASS1	SON
C21orf50	SON
DBP-5	SON
NREBP	SON
SON3	SON
TOKIMS	SON
HEL-S-95n	SORD
HMNR8	SORD
RDH	SORD
SORD1	SORD
SORDD	SORD
C11orf32	SORL1
LR11	SORL1
LRP9	LRP10
SORLA	SORL1
SorLA-1	SORL1
gp250	SORL1
GGF1	SOS1
GINGF	SOS1
NS4	SOS1
SOS-1	SOS1
NS9	SOS2
SOS-2	SOS2
ANOP3	SOX2
MCOPS3	SOX2
GHDX	SOX3
MRGH	SOX3
PHPX	SOX3
SOXB	SOX3
CSS10	SOX4
EVI16	SOX4
L-SOX5	SOX5
L-SOX5B	SOX5
L-SOX5F	SOX5
LAMSHF	SOX5
CMD1	SOX9
CMPD1	SOX9
SRXX2	SOX9
SRXY10	SOX9
DOM	SOX10
PCWH	SOX10
SOX-10	SOX10
WS2E	SOX10
WS4	SOX10
WS4C	SOX10
CSS9	SOX11
IDDMOH	SOX11
MRD27	SOX11
SOX20	SOX15
SOX26	SOX15
SOX27	SOX15
SOX22	SOX12
SPR2	SP3
HF1B	SP4
SPR-1	SP4
lysp100b	SP100
CILD28	SPAG8
CT140	SPAG1
DNAAF13	SPAG1
HEL-S-268	SPAG1
HSD-3.8	SPAG1
SP75	SPAG1
TPIS	SPAG1
AGX	UAP1
AGX1	UAP1
AGX2	UAP1
SPAG2	UAP1
CT127	SPAG4
SUN4	SPAG4
HEL-S-96n	SPAM1
HYA1	SPAM1
HYAL5	SPAM1
PH-20	SPAM1
PH20	SPAM1
SPAG15	SPAM1
BM-40	SPARC
OI17	SPARC
ON	SPARC
ONT	SPARC
ADPSP	SPAST
FSP2	CABYR
SPG4	SPAST
CMAR	SPG7
PGN	SPG7
SPG5C	SPG7
AGM10	SPI1
OF	BRIP1
PU.1	SPI1
SFPI1	SPI1
SPI-1	SPI1
SPI-A	SPI1
SPI-B	SPIB
PCTT	SPINK1
PSTI	SPINK1
Spink3	SPINK1
TATI	SPINK1
TCP	SPINK1
HUSI-II	SPINK2
SPGF29	SPINK2
HAI	ST14
HAI1	SPINT1
MANSC2	SPINT1
CD43	SPN
GALGP	SPN
GPL115	SPN
LEU-22	SPN
LSN	SPN
SPP-24	SPP2
SPP24	SPP2
SPOCK	SPOCK1
TESTICAN	SPOCK1
TIC1	SPOCK1
BSPI	SPP1
ETA-1	SPP1
OPN	SPP1
SDR38C1	SPR
CORNIFIN	SPRR1B
GADD33	SPRR1B
SPR-IB	SPRR1B
SPRR1	SPRR1B
EL2	SPTA1
HPP	SPTA1
HS3	SPTA1
SPH3	SPTA1
SPTA	SPTA1
DEE5	SPTAN1
DEVEP	SPTAN1
EIEE5	SPTAN1
HMN11	SPTAN1
HMND11	SPTAN1
NEAS	SPTAN1
SPG91	SPTAN1
SPTA2	SPTAN1
EL3	SPTB
HS2	SPTB
HSPTB1	SPTB
DDISBA	SPTBN1
ELF	SPTBN1
HEL102	SPTBN1
SPTB2	SPTBN1
betaSpII	SPTBN1
GTRAP41	SPTBN2
SCA5	SPTBN2
SCAR14	SPTBN2
ASV	SRC
SRC1	NCOA1
THC6	SRC
c-SRC	SRC
p60-Src	SRC
S5AR 1	SRD5A1
CP-22	SRI
CP22	SRI
SCN	SRI
V19	SRI
3o5bred	AKR1D1
CBAS2	AKR1D1
SRD5B1	AKR1D1
HMD	SREBF1
IFAP2	SREBF1
SREBP1	SREBF1
bHLHd1	SREBF1
SREBP-2	SREBF2
SREBP2	SREBF2
bHLHd2	SREBF2
MCM1	SRF
PAPT	PAPOLB
SPDSY	SRM
SPS1	SEPHS1
SRML1	SRM
C20orf148	SRMS
PTK70	SRMS
dJ697K14.1	SRMS
ALURBP	SRP14
SCN8	SRP54
SCN10	SRP68
BMFF	SRP72
BMFS1	SRP72
HEL103	SRP72
SFRSK1	SRPK1
SFRSK2	SRPK2
SRPR	SRPRA
Sralpha	SRPRA
SRXX1	SRY
SRXY1	SRY
TDF	SRY
TDY	SRY
RNF81	TRIM21
RO52	TRIM21
Ro/SSA	TRIM21
SSA1	TRIM21
RORNP	RO60
SSA2	RO60
TROVE2	RO60
LARP3	SSB
La	SSB
La/SSB	SSB
Mt-SSB	SSBP1
OPA13	SSBP1
SOSS-B1	NABP2
SSBP	SSBP1
mtSSB	SSBP1
CS1	SLAMF7
KRAP	ITPRID2
SPAG13	ITPRID2
SSFA2	ITPRID2
TRAPA	SSR1
HSD25	SSR2
TLAP	SSR2
TRAP-BETA	SSR2
TRAPB	SSR2
TRAPG	SSR3
CDG1Y	SSR4
TRAPD	SSR4
FACT	SSRP1
FACT80	SSRP1
T160	SSRP1
SMST	SST
SST1	SSTR1
SRIF-2	SSTR1
SS-1-R	SSTR1
SS1-R	SSTR1
SS1R	SSTR1
SS-3-R	SSTR3
SS3-R	SSTR3
SS3R	SSTR3
SSR-28	SSTR3
SST3	SNED1
SS-4-R	SSTR4
SS4-R	SSTR4
SS4R	SSTR4
SST4	SSTR4
SS-5-R	SSTR5
SST5	SSTR5
CT5.1	SSX1
SPGFX5	SSX1
SSRC	SSX1
CT5.2	SSX2B
CT5.2A	SSX2
HD21	SSX2
HOM-MEL-40	SSX2B
SSX	SSX2B
CT5.4	SSX4B
SMARCL1	SS18
SSXT	SS18
SYT	SYT1
HTS1	DENND2B
ST5	DENND2B
p126	DENND2B
AAG2	ST13
FAM10A1	ST13
FAM10A4	ST13
HOP	HOPX
HSPABP	ST13
HSPABP1	ST13
P48	ST13
PRO0786	ST13
SNC6	ST13
ARCI11	ST14
MT-SP1	ST14
MTSP1	ST14
PRSS14	ST14
SNC19	ST14
TADG15	ST14
TMPRSS14	ST14
STAC1	STAC
STARD1	STAR
CANDF7	STAT1
IMD31A	STAT1
IMD31B	STAT1
IMD31C	STAT1
ISGF-3	STAT2
STAT91	STAT1
IMD44	STAT2
P113	STAT2
PTORCH3	STAT2
STAT113	STAT2
ADMIO	STAT3
ADMIO1	STAT3
APRF	STAT3
HIES	STAT3
DPMC	STAT4
SLEB11	STAT4
STAT5	STAT5B
GHISID2	STAT5B
D12S1644	STAT6
HIES6	STAT6
IL-4-STAT	STAT6
STAT6B	STAT6
STAT6C	STAT6
STR	STATH
PPP1R150	STAU1
STAU	STAU1
STC	STC1
STCH	HSPA13
EST-1	SULT1E1
ST1E1	SULT1E1
STE	SULT1E1
ADMD	ELOVL4
CT118	ELOVL4
ISQMR	ELOVL4
SCA34	ELOVL4
STGD2	ELOVL4
STGD3	ELOVL4
D11S4896E	STIM1
GOK	STIM1
IMD10	STIM1
STRMK	STIM1
TAM	STIM1
TAM1	STIM1
NRK2	NMRK2
STK2	SLK
pp12301	NEK4
KRS1	STK3
MST2	STK3
KRS2	STK4
YSK3	STK4
AIK	AURKA
ARK1	AURKA
AURA	AURKA
BTAK	AURKA
PPP1R47	AURKA
STK15	AURKA
STK6	AURKA
CFAP247	CDKL5
DEE2	CDKL5
EIEE2	CDKL5
ISSX	ARX
STK9	CDKL5
LOK	STK10
PRO2729	STK10
LKB1	STK11
PJS	STK11
hLKB1	STK11
AIE2	AURKC
AIK3	AURKC
ARK3	AURKC
AurC	AURKC
HEL-S-90	AURKC
SPGF5	AURKC
STK13	AURKC
aurora-C	AURKC
HAST4	SULT1A2
P-PST	SULT1A1
P-PST 2	SULT1A2
ST1A2	SULT1A2
STP2	SULT1A2
TSPST2	SULT1A2
PPP2R6A	STRN
SG2NA	STRN3
STRN1	STRN
HPC-1	STX1A
P35-1	STX1A
STX1	STX1A
SYN1A	STX1A
DIAR12	STX3
MVID2	STX3
RDMVID	STX3
STX3A	STX3
DFNB123	STX4
STX4A	STX4
p35-2	STX4
CDG2AA	STX5
SED5	STX5
STX5A	STX5
DEE4	STXBP1
MUNC18-1	STXBP1
N-Sec1	STXBP1
NSEC1	STXBP1
P67	STXBP1
RBSEC1	STXBP1
UNC18	STXBP1
unc-18A	STXBP1
unc18-1	STXBP1
Hunc18b	STXBP2
MUNC18-2	STXBP2
UNC18-2	STXBP2
UNC18B	STXBP2
pp10122	STXBP2
unc-18B	STXBP2
MUNC18-3	STXBP3
MUNC18C	STXBP3
UNC-18C	STXBP3
HAST1/HAST2	SULT1A1
P-PST 1	SULT1A1
PST	ST8SIA4
ST1A1	SULT1A1
ST1A3	SULT1A4
STP	TRIP10
STP1	SULT1A1
TSPST1	SULT1A1
ts-PST	SULT1A1
HAST	SULT1A3
HAST3	SULT1A4
M-PST	SULT1A4
ST1A3/ST1A4	SULT1A4
ST1A4	SULT1A4
ST1A5	SULT1A3
STM	SULT1A4
TL-PST	SULT1A4
ST1C1	SULT1C2
ST1C2	SULT1C2
SULT1C1	SULT1C2
humSULTC2	SULT1C2
ARCI14	SULT2B1
HSST2	NDST2
DHEA-ST	SULT2A1
DHEA-ST8	SULT2A1
DHEAS	SULT2A1
ST2	SDCBP2
ST2A1	SULT2A1
ST2A3	SULT2A1
STD	ZAP70
SULT2A3	SULT2A1
hSTa	SULT2A1
SPT4	SUPT4H1
SPT4H	SUPT4H1
SUPT4H	SUPT4H1
Supt4a	SUPT4H1
SPT5	SUPT5H
SPT5H	SUPT5H
Tat-CT1	SUPT5H
SPT6	SUPT6H
SPT6H	SUPT6H
emb-5	SUPT6H
SUV3	SUPV3L1
ABC36	ABCC8
HHF1	ABCC8
HI	AKAP4
HRINS	ABCC8
PNDM3	ABCC8
SUR	ABCC8
SUR1	ABCC8
SUR1delta2	ABCC8
TNDM2	ABCC8
CMT4K	SURF1
MC4DN1	SURF1
SHY1	SURF1
SURF-2	SURF2
ERV29	SURF4
SRB6	MED22
SURF5	MED22
surf-5	MED22
RRP14	SURF6
H3-K9-HMTase 1	SUV39H1
KMT1A	SUV39H1
MG44	SUV39H1
SUV39H	SUV39H1
MFM10	SVIL
CMS25	VAMP1
SAX1	VAMP1
SPAX1	VAMP1
SYB1	VAMP1
VAMP-1	VAMP1
NEDHAHM	VAMP2
SYB2	VAMP2
VAMP-2	VAMP2
SYBL1	VAMP7
TI-VAMP	VAMP7
TIVAMP	VAMP7
VAMP-7	VAMP7
SCM-1b	XCL2
SCM1B	XCL2
SCYC2	XCL2
CT8	SYCP1
HOM-TES-14	SYCP1
SCP-1	SYCP1
SCP1	CTDSP1
IMD82	SYK
p72-Syk	SYK
EPILX	SYN1
EPILX1	SYN1
MRX50	SYN1
SYN1a	SYN1
SYN1b	SYN1
SYNI	SYN1
SYNII	SYN2
MRX96	SYP
MRXSYP	SYP
XLID96	SYP
H-SP1	SYPL1
SYPL	SYPL1
BAGOS	SYT1
P65	GORASP1
SVP65	SYT1
HsT1192	SYT4
SAVA	TBXT
T	TBXT
TFT	TBXT
Hs.2563	TAC1
NK2	TAC1
NKNA	TAC1
NPK	TAC1
TAC2	TAC1
NK2R	TACR2
NKNAR	TACR2
SKR	TACR2
TAC2R	TACR2
HH10	TAC3
LncZBTB39	TAC3
NK3	TACR3
NKB	TAC3
NKNB	TAC3
PRO1155	TAC3
ZNEUROK1	TAC3
Ga55	TACC1
CD156B	ADAM17
CSVP	ADAM17
NISBD	ADAM17
NISBD1	ADAM17
TACE	ADAM17
NK1R	TACR1
NKIR	CD300LF
TAC1R	TACR1
HH11	TACR3
NK-3R	TACR3
NK3R	TACR3
TAC3R	TACR3
TAC3RL	TACR3
ADA2A	TADA2A
KL04P	TADA2A
TADA2L	TADA2A
hADA2	TADA2A
BA2R	TAF1
CCG1	TAF1
CCGS	TAF1
DYT3	TAF1
DYT3/TAF1	TAF1
MRXS33	TAF1
N-TAF1	TAF1
P250	TAF1
TAF(II)250	TAF1
TAF2A	TAF10
TAFII-250	TAF1
TAFII250	TAF1
XDP	TAF1
CIF150	TAF2
MRT40	TAF2
TAF2B	TAF2
TAFII150	TAF2
MRD73	TAF4
TAF(II)130	TAF4
TAF(II)135	TAF4
TAF2C	TAF4
TAF2C1	TAF4
TAF4A	TAF4
TAFII-130	TAF4
TAFII-135	TAF4
TAFII130	TAF4
TAFII135	TAF4
SPGF13	TAF4B
TAF2C2	TAF4B
TAFII105	TAF4B
SM22	TAGLN
SM22-alpha	TAGLN
TAGLN1	TAGLN
TGLN	TAGLN
WS3-10	TAGLN
TAF(II)100	TAF5
